NCBI Accession, NCBI Tax ID, Domain, Phylum, Class, Order, Family, Genus, Species
NZ_FMIF01000051.1,1891289,Bacteria,Firmicutes,Tissierellia,Tissierellales,NA,Sporanaerobacter,Sporanaerobacter sp. PP17-6a
NZ_KQ955314.1,33029,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus hydrogenalis
NZ_KV804653.1,1739304,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerosphaera,NA 
NZ_KQ956462.1,1260,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia magna
NZ_JH601088.1,883114,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,Helcococcus kunzii
NZ_CYUO01000001.1,1689303,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Lagierella,Lagierella massiliensis
NZ_FIZW01000001.1,1673723,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,Murdochiella massiliensis
NZ_AFII01000002.1,767100,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,NA 
NZ_KQ960154.1,755172,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus coxii
NZ_OCTU01000012.1,2024205,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Urinacoccus,NA 
NZ_FUHM01000002.1,1871005,Bacteria,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Anaerosalibacter,NA 
NZ_NPMN01000001.1,1280483,Bacteria,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Tissierella,Tissierella sp. P1
NZ_FQLW01000005.1,1870994,Bacteria,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Urmitella,Urmitella timonensis
NZ_JTLI01000001.1,1339239,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,NA 
NZ_GL987987.1,469616,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum
NC_014632.1,572544,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter polytropus
NZ_KE384547.1,1123032,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,Psychrilyobacter atlanticus
NZ_LOQG01000001.1,1766719,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Caviibacter,Caviibacter abscessus
NC_013192.1,523794,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis
NZ_LOQI01000198.1,1769291,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Oceanivirga,Oceanivirga salmonicida
NC_013517.1,526218,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sebaldella,Sebaldella termitidis
NZ_CP011280.1,187101,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia amnii
NZ_LKKW01000008.1,1720557,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Streptobacillus,Streptobacillus ratti
NC_012489.1,379066,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca
NC_017464.1,945713,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,Ignavibacterium album
NC_018178.1,1191523,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Melioribacter,Melioribacter roseus
NZ_CP010904.1,1307763,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans
NZ_ABCK01000081.1,313628,Bacteria,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,Lentisphaera araneosa
NZ_AFNU02000034.1,1033810,Bacteria,NA,NA,Haloplasmatales,Haloplasmataceae,Haloplasma,Haloplasma contractile
NC_013525.1,525904,Bacteria,NA,NA,NA,NA,Thermobaculum,Thermobaculum terrenum
NZ_HG422173.1,1266370,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,Nitrospina gracilis
NZ_LIEB01000001.1,1502095,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum sp. YQP-1
NC_014355.1,330214,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira defluvii
NZ_BCNO01000001.1,86166,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,Thermodesulfovibrio aggregans
NC_017080.1,1142394,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,Phycisphaera mikurensis
NZ_NIDE01000001.1,1908690,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmataceae,Fimbriiglobus,Fimbriiglobus ruber
NZ_CP011271.1,1630693,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmataceae,Gemmata,Gemmata sp. SH-PL17
NZ_JH636439.1,1123508,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmataceae,Zavarzinella,Zavarzinella formosa
NC_014962.1,575540,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Isosphaera,Isosphaera pallida
NZ_CP019082.1,1387353,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Paludisphaera,Paludisphaera borealis
NZ_FSRB01000005.1,1882752,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Singulisphaera,NA 
NZ_CH672377.1,314230,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula,Blastopirellula marina
NZ_CP017641.1,1891926,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstia,Fuerstia marisgermanicae
NZ_ABCE01000125.1,344747,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris
NZ_LWSI01000001.1,980251,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Mariniblastus,Mariniblastus fucicola
NC_013720.1,530564,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula staleyi
NZ_FOQD01000041.1,1576369,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomicrobium,Planctomicrobium piriforme
NZ_CP011270.1,1632864,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,NA 
NC_014148.1,521674,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus limnophila
NZ_ANOG01000001.1,1265738,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula maiorica
NZ_LWSJ01000001.1,980254,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Roseimaritima,Roseimaritima ulvae
NC_015174.1,756272,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis
NZ_LWSK01000001.1,406547,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubripirellula,Rubripirellula obstinata
NZ_JH636434.1,1123242,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Schlesneria,Schlesneria paludicola
NZ_CP018477.1,1331910,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Thermogutta,Thermogutta terrifontis
NZ_CCCS020000001.1,160808,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrivorans
NZ_KE384096.1,1123368,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Thermithiobacillaceae,Thermithiobacillus,Thermithiobacillus tepidarius
NZ_NCSQ01000089.1,1978549,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Aquidulcibacter,Aquidulcibacter paucihalophilus
NC_014816.1,573065,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus
NZ_AUAO01000001.1,1121123,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas aveniformis
NZ_JONW01000001.1,1449049,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA 
NZ_CVJQ01000001.1,31967,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium immobile
NZ_KB908056.1,1123503,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Woodsholea,Woodsholea maritima
NZ_ARPM03000203.1,1321371,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Holospora,Holospora undulata
NZ_MTSX01000001.1,1938558,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Kiloniella,Kiloniella majae
NZ_LRUB01000001.1,1662421,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,Kordiimonas lipolytica
NC_008576.1,156889,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus
NZ_LVJN01000001.1,1434232,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetofaba,Magnetofaba australis
NZ_PDEM01000001.1,2043170,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,Emcibacter,Emcibacter sp. ZYL
NC_020812.1,349215,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,Micavibrio,Micavibrio aeruginosavorus
NC_015259.1,991905,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,Polymorphum,Polymorphum gilvum
NZ_JQKX01000001.1,1495045,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,Thermopetrobacter,Thermopetrobacter sp. TC1
NZ_FZQA01000015.1,1519374,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Amphiplicatus,Amphiplicatus metriothermophilus
NZ_JPHU01000001.1,1247963,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula oceani
NZ_FOOA01000060.1,1166078,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas,Aureimonas phyllosphaerae
NZ_BBWQ01000001.1,370622,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,Aureimonas altamirensis
NZ_BBWO01000001.1,217511,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Fulvimarina,Fulvimarina pelagi
NZ_AQWH01000001.1,1122214,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,Martelella mediterranea
NZ_JH725147.1,1094558,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella tamiae
NZ_FNSI01000002.1,1882748,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,NA 
NZ_JQKO01000001.1,663610,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocapsa,Methylocapsa aurea
NC_011666.1,395965,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,Methylocella silvestris
NZ_ARWA01000001.1,876269,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methyloferula,Methyloferula stellata
NZ_FYDG01000074.1,1074,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,Rhodoblastus acidophilus
NZ_KB375281.1,883079,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia clevelandensis
NZ_JNLC01000001.1,1125973,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea sp. 117
NZ_CAFK01000350.1,551947,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA 
NC_007964.1,323097,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter hamburgensis
NC_011386.1,504832,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Oligotropha,Oligotropha carboxidovorans
NC_007778.1,316058,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris
NZ_AUBC01000001.1,1123229,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Salinarimonas,Salinarimonas rosea
NZ_FNWZ01000012.1,1855306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Tardiphaga,NA 
NZ_AP014946.1,1333996,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Variibacter,Variibacter gotjawalensis
NZ_ADFA01000174.1,693750,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella sp. BO2
NZ_NNRL01000001.1,94627,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum grignonense
NZ_ANNO01000001.1,1201036,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum,NA 
NZ_LIOL01000001.1,363953,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Chelatococcaceae,Chelatococcus,Chelatococcus sambhunathii
NZ_OBEL01000014.1,372072,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Cohaesibacteraceae,Cohaesibacter,Cohaesibacter gelatinilyticus
NZ_CP012946.1,1079,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Blastochloris,Blastochloris viridis
NZ_AUCR01000001.1,422296,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Cucumibacter,Cucumibacter marinus
NZ_JZEX01000001.1,443610,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia geojensis
NZ_LN829119.1,1608628,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Candidatus Filomicrobium marinum
NZ_FPEJ01000016.1,1892846,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA 
NZ_AUHV01000002.1,1122213,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Maritalea,Maritalea myrionectae
NZ_FNCS01000048.1,440168,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,Pelagibacterium luteolum
NC_014664.1,648757,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,Rhodomicrobium vannielii
NZ_CP007440.1,674703,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,NA 
NZ_LMNL01000001.1,1736260,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,NA 
NZ_CP016616.1,1882682,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,Microvirga ossetica
NZ_KB893653.1,1122218,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Neomegalonema,Neomegalonema perideroedes
NZ_CP019948.1,655015,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis bryophila
NZ_ARWB01000001.1,1101190,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylopila,NA 
NZ_ADVE02000003.1,595536,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus,Methylosinus trichosporium
NZ_AUHB01000001.1,1122963,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Pleomorphomonas,Pleomorphomonas oryzae
NZ_FLYE01000048.1,1867952,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Terasakiella,NA 
NZ_FMXQ01000029.1,665467,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,Bauldia,Bauldia litoralis
NZ_LT960614.1,1482074,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,Hartmannibacter,Hartmannibacter diazotrophicus
NZ_LPWE01000001.1,1774970,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,Methyloceanibacter,Methyloceanibacter stevinii
NZ_MASI01000001.1,1177755,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,Methyloligella,Methyloligella halotolerans
NZ_MSIG01000001.1,1709001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,Mongoliimonas,Mongoliimonas terrestris
NZ_CP021112.1,1235591,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici
NZ_NBYO01000001.1,1876515,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Notoacmeibacteraceae,Notoacmeibacter,Notoacmeibacter marinus
NZ_AYOD01000001.1,1381123,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aliihoeflea,NA 
NZ_CP015005.1,83263,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter,Aminobacter aminovorans
NZ_KK073877.1,69279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aquamicrobium,Aquamicrobium defluvii
NC_008254.1,266779,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Chelativorans,NA 
NZ_CM002917.1,411684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,Hoeflea phototrophica
NZ_JTGD01000015.1,1574409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,NA 
NZ_LFVY01000001.1,1670619,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor,Nitratireductor soli
NZ_LNTU01000001.1,1494590,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Paramesorhizobium,Paramesorhizobium deserti
NZ_JMLL01000001.1,1449065,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,NA 
NZ_MDET01000001.1,1873176,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Pseudaminobacter,Pseudaminobacter manganicus
NZ_JUHG01000011.1,359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rhizogenes
NZ_MBFK01000123.1,1850094,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer shofinae
NZ_FQUP01000015.1,1122133,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Kaistia soli
NC_022793.1,1261131,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Liberibacter,Candidatus Liberibacter americanus
NZ_HG938355.1,1028801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae
NZ_CM004502.1,1612624,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pararhizobium,Pararhizobium polonicum
NZ_JOKI01000001.1,1509405,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudorhizobium,Pseudorhizobium pelagicum
NZ_MPVZ01000100.1,1921145,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA 
NZ_CP015736.1,879274,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella sp. HZN7
NZ_ATYB01000014.1,935557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium arboris
NZ_JHZK01000001.1,1120956,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,Afifella pfennigii
NZ_KB894570.1,1120983,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Amorphus,Amorphus coralli
NZ_AWXZ01000001.1,631454,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Lutibaculum,Lutibaculum baratangense
NC_009719.1,402881,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Parvibaculum,Parvibaculum lavamentivorans
NZ_FNCV01000036.1,83401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Roseospirillum,Roseospirillum parvum
NZ_BBIO01000046.1,1333998,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Tepidicaulis,Tepidicaulis marinus
NZ_KB904818.1,1111106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter,NA 
NC_009937.1,438753,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans
NZ_LYXZ01000001.1,1737983,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,Labrys sp. WJW
NZ_LMFS01000001.1,1736466,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,NA 
NZ_FRXO01000026.1,1123029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudoxanthobacter,Pseudoxanthobacter soli
NC_014217.1,639283,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Starkeya,Starkeya novella
NZ_JAFO01000001.1,1131814,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,NA 
NZ_ASJA01000001.1,1161401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Euryhalocaulis,Euryhalocaulis caribicus
NZ_AUAC01000002.1,1121948,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hellea,Hellea balneolensis
NZ_NCST01000009.1,545261,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Henriciella,Henriciella aquimarina
NC_012982.1,582402,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia baltica
NZ_ARYK01000001.1,1280950,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas johnsonii
NZ_FNHG01000036.1,144026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,Maricaulis salignorans
NZ_ATUP01000001.1,1122613,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis alexandrii
NZ_ATVJ01000001.1,551789,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Ponticaulis,Ponticaulis koreensis
NZ_KB823011.1,1123059,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Robiginitomaculum,Robiginitomaculum antarcticum
NZ_NSBU01000001.1,2029103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium,Actibacterium pelagium
NZ_MJUX01000010.1,1443441,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Acuticoccus,Acuticoccus yangtzensis
NZ_AQQZ01000001.1,1317121,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariivita,Aestuariivita atlantica
NZ_KB894528.1,1120961,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,Ahrensia kielensis
NZ_FNFV01000024.1,990712,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albidovulum,Albidovulum xiamenense
NZ_FNMZ01000029.1,356660,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas,Albimonas donghaensis
NZ_FOJB01000006.1,1173584,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aliiroseovarius,Aliiroseovarius sediminilitoris
NZ_NIWB01000001.1,1463601,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Alkalimicrobium,Alkalimicrobium pacificum
NZ_MDGM01000001.1,1889778,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,NA 
NZ_CP022540.1,74033,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus
NZ_FWFS01000032.1,1519096,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aquimixticola,Aquimixticola soesokkakensis
NZ_FXXQ01000065.1,1470561,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Boseongicola,Boseongicola aestuarii
NZ_MTCO01000001.1,1267768,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Brevirhabdus,Brevirhabdus pacifica
NZ_CP021404.1,1411902,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Celeribacter manganoxidans
NZ_AJKJ01000001.1,766499,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreicella,NA 
NZ_FNPF01000062.1,321339,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreimonas,Citreimonas salinaria
